tutor_id,name,city,subjects,years_experience,hourly_rate,rating,bio,years_experience_clean,hourly_rate_clean,rating_clean,subjects_clean,skills_set,years_num,rate_num,rating_norm
9,Ali Yousaf,karachi,Social Studies,3, 35 ,3.4,Passionate about student success with individualized lesson plans.,3.0,35.0,3.4,social studies,{'social studies'},3,35.0,0.2727272727272727
71,Zain Abbasi, RAWALPINDI ,GEOGRAPHY,10,46,5.2,Passionate about student success with individualized lesson plans.,10.0,46.0,5.0,geography,{'geography'},10,46.0,0.9999999999999998
83,Daniyal Farooq,lahore,Urdu,12,,4.5,Passionate about student success with individualized lesson plans.,12.0,,4.5,urdu,{'urdu'},12,0.0,0.7727272727272727
29,Ahmad Imran,Karachi,Finance Basics,3,,,Passionate about student success with individualized lesson plans.,3.0,,,finance basics,{'finance basics'},3,0.0,
64,Laiba Yousaf,karachi,Earth Science,5+,PKR 3360,4.9,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc.",5.0,3360.0,4.9,earth science,{'earth science'},5,3360.0,0.9545454545454548
1,Hassan Khan,Lahore,"History  , phy, Biology",seven,PKR 7840,3.9,Exam strategy specialist; past students improved by 20–30%.,,7840.0,3.9,"history  , phy, biology","{'history', 'phy', 'biology'}",0,7840.0,0.5
6,Ahmad Hameed,Faisalabad,"  Life Sciences  ,    COMPUTER SCIENCE  ,  ACCOUNTING",1,PKR 2800,,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc.",1.0,2800.0,,"life sciences  ,    computer science  ,  accounting","{'life sciences', 'accounting', 'computer science'}",1,2800.0,
51,Hassan Nawaz, Lahore ,,3,45usd,4.1,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc.",3.0,45.0,4.1,,set(),3,45.0,0.5909090909090906
82,Laiba Javed, faisalabad ,"LANGUAGE ARTS  ,,,CHEMISTRY, Biology",4,$18,4.4,Exam strategy specialist; past students improved by 20–30%.,4.0,18.0,4.4,"language arts  ,,,chemistry, biology","{'', 'language arts', 'biology', 'chemistry'}",4,18.0,0.7272727272727273
5,Anaya Khan,RAWALPINDI,Urdu,4,"34,-",,Flexible scheduling; online and in-person options.,4.0,34.0,,urdu,{'urdu'},4,34.0,
24,Mariam Farooq,ISLAMABAD,"LANGUAGE ARTS, MATH",2,46usd,4.8,Flexible scheduling; online and in-person options.,2.0,46.0,4.8,"language arts, math","{'math', 'language arts'}",2,46.0,0.909090909090909
66,Omar Khalid,lahore,Coding,12,$49,4.5,Flexible scheduling; online and in-person options.,12.0,49.0,4.5,coding,{'coding'},12,49.0,0.7727272727272727
77,Mariam Butt,Lahore,computer science,2 years,31,4.3,Flexible scheduling; online and in-person options.,2.0,31.0,4.3,computer science,{'computer science'},2,31.0,0.6818181818181817
61,Hassan Malik,Rawalpindi, Organic Chem ,9,$30,4.1,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc.",9.0,30.0,4.1,organic chem,{'organic chem'},9,30.0,0.5909090909090906
25,Mariam Sheikh,Karachi,GEOGRAPHY,5,36,3.5,Focused on fundamentals and problem-solving habits.,5.0,36.0,3.5,geography,{'geography'},5,36.0,0.3181818181818181
43,Amna Abbasi,Islamabad,"PHYSICS, math",—,19,4.5,Focused on fundamentals and problem-solving habits.,,19.0,4.5,"physics, math","{'math', 'physics'}",0,19.0,0.7727272727272727
78,Fatima Malik,RAWALPINDI,"PHYSICS , ORGANIC CHEM",5,PKR 11200,4.7,Focused on fundamentals and problem-solving habits.,5.0,11200.0,4.7,"physics , organic chem","{'organic chem', 'physics'}",5,11200.0,0.8636363636363635
39,Ali Khan,lahore,CHEM,8,$43,5.1,Project-based learning advocate; hands-on examples.,8.0,43.0,5.0,chem,{'chem'},8,43.0,0.9999999999999998
57,Amna Sheikh,Islamabad," LANGUAGE ARTS  , Geography",15,,3.5,Flexible scheduling; online and in-person options.,15.0,,3.5,"language arts  , geography","{'geography', 'language arts'}",15,0.0,0.3181818181818181
76,Hamza Mir,Rawalpindi,"BIOLOGY, Accounting",5, 12 ,3.8,Exam strategy specialist; past students improved by 20–30%.,5.0,12.0,3.8,"biology, accounting","{'accounting', 'biology'}",5,12.0,0.45454545454545436
36,Usman Raza,rawalpindi,"PHY ,   finance basics  ",7,24,4.8,Exam strategy specialist; past students improved by 20–30%.,7.0,24.0,4.8,"phy ,   finance basics","{'phy', 'finance basics'}",7,24.0,0.909090909090909
89,Usman Imran,Islamabad,"CODING,  Geography  , Accounting",1,$12,4.0,Focused on fundamentals and problem-solving habits.,1.0,12.0,4.0,"coding,  geography  , accounting","{'geography', 'accounting', 'coding'}",1,12.0,0.5454545454545454
20,Ali Khan,FAISALABAD,"  Eng , Physics, Math",3,$42,4.9,Passionate about student success with individualized lesson plans.,3.0,42.0,4.9,"eng , physics, math","{'math', 'physics', 'eng'}",3,42.0,0.9545454545454548
30,Saad Nawaz,Islamabad,"ACCOUNTING, pak studies , ORGANIC CHEM",2+,"31,-",4.0,Project-based learning advocate; hands-on examples.,2.0,31.0,4.0,"accounting, pak studies , organic chem","{'organic chem', 'pak studies', 'accounting'}",2,31.0,0.5454545454545454
32,Noor Sheikh,Islamabad,"computer science, SOCIAL STUDIES",7,10,3.3,Exam strategy specialist; past students improved by 20–30%.,7.0,10.0,3.3,"computer science, social studies","{'computer science', 'social studies'}",7,10.0,0.22727272727272707
92,Hassan Butt,Rawalpindi,"CHEMISTRY, Geography, literature",5, 18 ,,Flexible scheduling; online and in-person options.,5.0,18.0,,"chemistry, geography, literature","{'geography', 'literature', 'chemistry'}",5,18.0,
86,Ali Yousaf,rawalpindi,Physics,6, 30 ,3.8,Exam strategy specialist; past students improved by 20–30%.,6.0,30.0,3.8,physics,{'physics'},6,30.0,0.45454545454545436
10,Anaya Abbasi,lahore,organic chem,8+,"42,-",4.0,Passionate about student success with individualized lesson plans.,8.0,42.0,4.0,organic chem,{'organic chem'},8,42.0,0.5454545454545454
54,Amna Malik,Karachi, URDU,3,13,4.4,Project-based learning advocate; hands-on examples.,3.0,13.0,4.4,urdu,{'urdu'},3,13.0,0.7272727272727273
42,Hassan Yousaf, lahore ,"social studies, CODING, Mechanics",2 years,$38,5.6,Passionate about student success with individualized lesson plans.,2.0,38.0,5.0,"social studies, coding, mechanics","{'mechanics', 'coding', 'social studies'}",2,38.0,0.9999999999999998
22,Usman Mir,Faisalabad,"Geo,   LANGUAGE ARTS ,   COMPUTER SCIENCE  ",5,$22,4.6,Focused on fundamentals and problem-solving habits.,5.0,22.0,4.6,"geo,   language arts ,   computer science","{'language arts', 'geo', 'computer science'}",5,22.0,0.8181818181818181
91,Amna Anwar,RAWALPINDI,"english, Language Arts,,,Maths  ",1,PKR 11760,3.5,Exam strategy specialist; past students improved by 20–30%.,1.0,11760.0,3.5,"english, language arts,,,maths","{'', 'english', 'language arts', 'maths'}",1,11760.0,0.3181818181818181
